04	003	Sierra Vista-Douglas, AZ
04	005	Flagstaff, AZ
04	019	Tucson, AZ
05	025	Pine Bluff, AR
05	051	Hot Springs, AR
05	069	Pine Bluff, AR
05	079	Pine Bluff, AR
05	081	Texarkana, TX-AR
05	091	Texarkana, TX-AR
06	003	Eastern Sierra-Mother Lode Region of California nonmetropolitan area
06	005	Eastern Sierra-Mother Lode Region of California nonmetropolitan area
06	009	Eastern Sierra-Mother Lode Region of California nonmetropolitan area
06	011	North Valley-Northern Mountains Region of California nonmetropolitan area
06	021	North Valley-Northern Mountains Region of California nonmetropolitan area
06	027	Eastern Sierra-Mother Lode Region of California nonmetropolitan area
06	035	North Valley-Northern Mountains Region of California nonmetropolitan area
06	043	Eastern Sierra-Mother Lode Region of California nonmetropolitan area
06	049	North Valley-Northern Mountains Region of California nonmetropolitan area
06	051	Eastern Sierra-Mother Lode Region of California nonmetropolitan area
06	057	North Valley-Northern Mountains Region of California nonmetropolitan area
06	063	North Valley-Northern Mountains Region of California nonmetropolitan area
06	065	Riverside-San Bernardino-Ontario, CA
06	071	Riverside-San Bernardino-Ontario, CA
06	091	North Valley-Northern Mountains Region of California nonmetropolitan area
06	093	North Valley-Northern Mountains Region of California nonmetropolitan area
06	103	North Valley-Northern Mountains Region of California nonmetropolitan area
06	105	North Valley-Northern Mountains Region of California nonmetropolitan area
06	107	Visalia-Porterville, CA
06	109	Eastern Sierra-Mother Lode Region of California nonmetropolitan area
09	009	New Haven-Milford, CT
09	015	Worcester, MA-CT
10	003	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD
17	011	Northwest Illinois nonmetropolitan area
17	015	Northwest Illinois nonmetropolitan area
17	031	Chicago-Naperville-Elgin, IL-IN-WI
17	037	Chicago-Naperville-Elgin, IL-IN-WI
17	043	Chicago-Naperville-Elgin, IL-IN-WI
17	063	Chicago-Naperville-Elgin, IL-IN-WI
17	085	Northwest Illinois nonmetropolitan area
17	089	Chicago-Naperville-Elgin, IL-IN-WI
17	091	Kankakee, IL
17	093	Chicago-Naperville-Elgin, IL-IN-WI
17	097	Chicago-Naperville-Elgin, IL-IN-WI
17	099	Northwest Illinois nonmetropolitan area
17	103	Northwest Illinois nonmetropolitan area
17	111	Chicago-Naperville-Elgin, IL-IN-WI
17	115	Decatur, IL
17	141	Northwest Illinois nonmetropolitan area
17	155	Northwest Illinois nonmetropolitan area
17	177	Northwest Illinois nonmetropolitan area
17	195	Northwest Illinois nonmetropolitan area
17	197	Chicago-Naperville-Elgin, IL-IN-WI
18	073	Chicago-Naperville-Elgin, IL-IN-WI
18	089	Chicago-Naperville-Elgin, IL-IN-WI
18	111	Chicago-Naperville-Elgin, IL-IN-WI
18	127	Chicago-Naperville-Elgin, IL-IN-WI
21	093	Elizabethtown-Fort Knox, KY
21	123	Elizabethtown-Fort Knox, KY
21	163	Elizabethtown-Fort Knox, KY
24	015	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD
25	001	Barnstable Town, MA
25	003	Pittsfield, MA
25	007	Massachusetts nonmetropolitan area
25	011	Massachusetts nonmetropolitan area
25	019	Massachusetts nonmetropolitan area
25	027	Worcester, MA-CT
26	087	Detroit-Warren-Dearborn, MI
26	093	Detroit-Warren-Dearborn, MI
26	099	Detroit-Warren-Dearborn, MI
26	115	Monroe, MI
26	125	Detroit-Warren-Dearborn, MI
26	147	Detroit-Warren-Dearborn, MI
26	163	Detroit-Warren-Dearborn, MI
32	003	Las Vegas-Henderson-Paradise, NV
32	510	Carson City, NV
34	001	Atlantic City-Hammonton, NJ
34	005	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD
34	007	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD
34	015	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD
34	033	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD
35	001	Albuquerque, NM
35	043	Albuquerque, NM
35	057	Albuquerque, NM
35	061	Albuquerque, NM
36	007	Binghamton, NY
36	107	Binghamton, NY
37	049	New Bern, NC
37	065	Rocky Mount, NC
37	081	Greensboro-High Point, NC
37	103	New Bern, NC
37	127	Rocky Mount, NC
37	137	New Bern, NC
37	151	Greensboro-High Point, NC
37	157	Greensboro-High Point, NC
39	133	Akron, OH
39	153	Akron, OH
41	005	Portland-Vancouver-Hillsboro, OR-WA
41	009	Portland-Vancouver-Hillsboro, OR-WA
41	029	Medford, OR
41	051	Portland-Vancouver-Hillsboro, OR-WA
41	067	Portland-Vancouver-Hillsboro, OR-WA
41	071	Portland-Vancouver-Hillsboro, OR-WA
42	011	Reading, PA
42	017	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD
42	029	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD
42	037	Bloomsburg-Berwick, PA
42	041	Harrisburg-Carlisle, PA
42	043	Harrisburg-Carlisle, PA
42	045	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD
42	049	Erie, PA
42	091	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD
42	093	Bloomsburg-Berwick, PA
42	099	Harrisburg-Carlisle, PA
42	101	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD
42	133	York-Hanover, PA
48	037	Texarkana, TX-AR
53	005	Kennewick-Richland, WA
53	011	Portland-Vancouver-Hillsboro, OR-WA
53	015	Longview, WA
53	021	Kennewick-Richland, WA
53	059	Portland-Vancouver-Hillsboro, OR-WA
55	059	Chicago-Naperville-Elgin, IL-IN-WI
