01	015	Anniston-Oxford-Jacksonville, AL
01	017	Northeast Alabama nonmetropolitan area
01	019	Northeast Alabama nonmetropolitan area
01	027	Northeast Alabama nonmetropolitan area
01	029	Northeast Alabama nonmetropolitan area
01	037	Northeast Alabama nonmetropolitan area
01	049	Northeast Alabama nonmetropolitan area
01	071	Northeast Alabama nonmetropolitan area
01	095	Northeast Alabama nonmetropolitan area
01	111	Northeast Alabama nonmetropolitan area
01	121	Northeast Alabama nonmetropolitan area
01	123	Northeast Alabama nonmetropolitan area
04	003	Sierra Vista-Douglas, AZ
04	005	Flagstaff, AZ
04	019	Tucson, AZ
04	025	Prescott, AZ
05	007	Fayetteville-Springdale-Rogers, AR-MO
05	025	Pine Bluff, AR
05	051	Hot Springs, AR
05	069	Pine Bluff, AR
05	079	Pine Bluff, AR
05	081	Texarkana, TX-AR
05	087	Fayetteville-Springdale-Rogers, AR-MO
05	091	Texarkana, TX-AR
05	143	Fayetteville-Springdale-Rogers, AR-MO
06	003	Eastern Sierra-Mother Lode Region of California nonmetropolitan area
06	005	Eastern Sierra-Mother Lode Region of California nonmetropolitan area
06	009	Eastern Sierra-Mother Lode Region of California nonmetropolitan area
06	011	North Valley-Northern Mountains Region of California nonmetropolitan area
06	021	North Valley-Northern Mountains Region of California nonmetropolitan area
06	027	Eastern Sierra-Mother Lode Region of California nonmetropolitan area
06	035	North Valley-Northern Mountains Region of California nonmetropolitan area
06	043	Eastern Sierra-Mother Lode Region of California nonmetropolitan area
06	049	North Valley-Northern Mountains Region of California nonmetropolitan area
06	051	Eastern Sierra-Mother Lode Region of California nonmetropolitan area
06	055	Napa, CA
06	057	North Valley-Northern Mountains Region of California nonmetropolitan area
06	063	North Valley-Northern Mountains Region of California nonmetropolitan area
06	065	Riverside-San Bernardino-Ontario, CA
06	071	Riverside-San Bernardino-Ontario, CA
06	073	San Diego-Carlsbad, CA
06	091	North Valley-Northern Mountains Region of California nonmetropolitan area
06	093	North Valley-Northern Mountains Region of California nonmetropolitan area
06	103	North Valley-Northern Mountains Region of California nonmetropolitan area
06	105	North Valley-Northern Mountains Region of California nonmetropolitan area
06	107	Visalia-Porterville, CA
06	109	Eastern Sierra-Mother Lode Region of California nonmetropolitan area
08	013	Boulder, CO
09	009	New Haven-Milford, CT
09	015	Worcester, MA-CT
10	003	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD
12	001	Gainesville, FL
12	027	South Florida nonmetropolitan area
12	033	Pensacola-Ferry Pass-Brent, FL
12	039	Tallahassee, FL
12	041	Gainesville, FL
12	043	South Florida nonmetropolitan area
12	049	South Florida nonmetropolitan area
12	051	South Florida nonmetropolitan area
12	065	Tallahassee, FL
12	073	Tallahassee, FL
12	087	South Florida nonmetropolitan area
12	093	South Florida nonmetropolitan area
12	113	Pensacola-Ferry Pass-Brent, FL
12	129	Tallahassee, FL
13	013	Atlanta-Sandy Springs-Roswell, GA
13	015	Atlanta-Sandy Springs-Roswell, GA
13	035	Atlanta-Sandy Springs-Roswell, GA
13	045	Atlanta-Sandy Springs-Roswell, GA
13	057	Atlanta-Sandy Springs-Roswell, GA
13	059	Athens-Clarke County, GA
13	063	Atlanta-Sandy Springs-Roswell, GA
13	067	Atlanta-Sandy Springs-Roswell, GA
13	077	Atlanta-Sandy Springs-Roswell, GA
13	085	Atlanta-Sandy Springs-Roswell, GA
13	089	Atlanta-Sandy Springs-Roswell, GA
13	097	Atlanta-Sandy Springs-Roswell, GA
13	113	Atlanta-Sandy Springs-Roswell, GA
13	115	Rome, GA
13	117	Atlanta-Sandy Springs-Roswell, GA
13	121	Atlanta-Sandy Springs-Roswell, GA
13	135	Atlanta-Sandy Springs-Roswell, GA
13	143	Atlanta-Sandy Springs-Roswell, GA
13	149	Atlanta-Sandy Springs-Roswell, GA
13	151	Atlanta-Sandy Springs-Roswell, GA
13	159	Atlanta-Sandy Springs-Roswell, GA
13	171	Atlanta-Sandy Springs-Roswell, GA
13	195	Athens-Clarke County, GA
13	199	Atlanta-Sandy Springs-Roswell, GA
13	211	Atlanta-Sandy Springs-Roswell, GA
13	217	Atlanta-Sandy Springs-Roswell, GA
13	219	Athens-Clarke County, GA
13	221	Athens-Clarke County, GA
13	223	Atlanta-Sandy Springs-Roswell, GA
13	227	Atlanta-Sandy Springs-Roswell, GA
13	231	Atlanta-Sandy Springs-Roswell, GA
13	247	Atlanta-Sandy Springs-Roswell, GA
13	255	Atlanta-Sandy Springs-Roswell, GA
13	297	Atlanta-Sandy Springs-Roswell, GA
16	001	Boise City, ID
16	015	Boise City, ID
16	027	Boise City, ID
16	045	Boise City, ID
16	073	Boise City, ID
17	005	St. Louis, MO-IL
17	011	Northwest Illinois nonmetropolitan area
17	013	St. Louis, MO-IL
17	015	Northwest Illinois nonmetropolitan area
17	027	St. Louis, MO-IL
17	031	Chicago-Naperville-Elgin, IL-IN-WI
17	037	Chicago-Naperville-Elgin, IL-IN-WI
17	043	Chicago-Naperville-Elgin, IL-IN-WI
17	063	Chicago-Naperville-Elgin, IL-IN-WI
17	083	St. Louis, MO-IL
17	085	Northwest Illinois nonmetropolitan area
17	089	Chicago-Naperville-Elgin, IL-IN-WI
17	091	Kankakee, IL
17	093	Chicago-Naperville-Elgin, IL-IN-WI
17	097	Chicago-Naperville-Elgin, IL-IN-WI
17	099	Northwest Illinois nonmetropolitan area
17	103	Northwest Illinois nonmetropolitan area
17	111	Chicago-Naperville-Elgin, IL-IN-WI
17	115	Decatur, IL
17	117	St. Louis, MO-IL
17	119	St. Louis, MO-IL
17	133	St. Louis, MO-IL
17	141	Northwest Illinois nonmetropolitan area
17	155	Northwest Illinois nonmetropolitan area
17	163	St. Louis, MO-IL
17	177	Northwest Illinois nonmetropolitan area
17	195	Northwest Illinois nonmetropolitan area
17	197	Chicago-Naperville-Elgin, IL-IN-WI
18	009	Central Indiana nonmetropolitan area
18	023	Central Indiana nonmetropolitan area
18	031	Central Indiana nonmetropolitan area
18	041	Central Indiana nonmetropolitan area
18	045	Central Indiana nonmetropolitan area
18	047	Central Indiana nonmetropolitan area
18	053	Central Indiana nonmetropolitan area
18	065	Central Indiana nonmetropolitan area
18	073	Chicago-Naperville-Elgin, IL-IN-WI
18	075	Central Indiana nonmetropolitan area
18	089	Chicago-Naperville-Elgin, IL-IN-WI
18	107	Central Indiana nonmetropolitan area
18	111	Chicago-Naperville-Elgin, IL-IN-WI
18	121	Central Indiana nonmetropolitan area
18	127	Chicago-Naperville-Elgin, IL-IN-WI
18	135	Central Indiana nonmetropolitan area
18	139	Central Indiana nonmetropolitan area
18	159	Central Indiana nonmetropolitan area
18	171	Central Indiana nonmetropolitan area
18	177	Central Indiana nonmetropolitan area
19	061	Dubuque, IA
20	045	Lawrence, KS
20	091	Kansas City, MO-KS
20	103	Kansas City, MO-KS
20	107	Kansas City, MO-KS
20	121	Kansas City, MO-KS
20	209	Kansas City, MO-KS
21	093	Elizabethtown-Fort Knox, KY
21	123	Elizabethtown-Fort Knox, KY
21	163	Elizabethtown-Fort Knox, KY
23	001	Lewiston-Auburn, ME
24	015	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD
25	001	Barnstable Town, MA
25	003	Pittsfield, MA
25	007	Massachusetts nonmetropolitan area
25	011	Massachusetts nonmetropolitan area
25	019	Massachusetts nonmetropolitan area
25	027	Worcester, MA-CT
26	087	Detroit-Warren-Dearborn, MI
26	093	Detroit-Warren-Dearborn, MI
26	099	Detroit-Warren-Dearborn, MI
26	115	Monroe, MI
26	125	Detroit-Warren-Dearborn, MI
26	147	Detroit-Warren-Dearborn, MI
26	161	Ann Arbor, MI
26	163	Detroit-Warren-Dearborn, MI
27	003	Minneapolis-St. Paul-Bloomington, MN-WI
27	005	Northwest Minnesota nonmetropolitan area
27	007	Northwest Minnesota nonmetropolitan area
27	011	Southwest Minnesota nonmetropolitan area
27	019	Minneapolis-St. Paul-Bloomington, MN-WI
27	021	Northwest Minnesota nonmetropolitan area
27	023	Southwest Minnesota nonmetropolitan area
27	025	Minneapolis-St. Paul-Bloomington, MN-WI
27	029	Northwest Minnesota nonmetropolitan area
27	033	Southwest Minnesota nonmetropolitan area
27	035	Northwest Minnesota nonmetropolitan area
27	037	Minneapolis-St. Paul-Bloomington, MN-WI
27	041	Northwest Minnesota nonmetropolitan area
27	051	Northwest Minnesota nonmetropolitan area
27	053	Minneapolis-St. Paul-Bloomington, MN-WI
27	057	Northwest Minnesota nonmetropolitan area
27	059	Minneapolis-St. Paul-Bloomington, MN-WI
27	063	Southwest Minnesota nonmetropolitan area
27	067	Southwest Minnesota nonmetropolitan area
27	069	Northwest Minnesota nonmetropolitan area
27	073	Southwest Minnesota nonmetropolitan area
